Attaching 333 probes...
Tracing sliver implant... Hit Ctrl-C to end.
TIME      IMPLANT              PID        TID        SADDR                SPORT  DADDR                DPORT 
Tracing sliver implant end.




@states[61154, 61154]: 0
@states[1124, 1127]: 0
@states[61165, 61165]: 0
@states[1124, 1126]: 0
@states[61147, 61147]: 0
@states[28071, 28074]: 0
@states[59315, 59315]: 0
@states[61168, 61168]: 0
@states[61136, 61136]: 0
@states[48138, 48140]: 0
@states[59102, 59108]: 0
@states[61246, 61246]: 0
@states[61166, 61166]: 0
@states[61191, 61191]: 0
@states[611, 611]: 0
@states[61210, 61210]: 0
@states[56734, 56738]: 0
@states[61124, 61124]: 0
@states[2548, 2564]: 0
@states[61137, 61137]: 0
@states[56780, 56780]: 0
@states[56734, 56758]: 0
@states[59102, 59117]: 0
@states[61144, 61144]: 0
@states[61239, 61239]: 0
@states[61211, 61211]: 0
@states[57124, 57124]: 0
@states[57178, 57178]: 0
@states[61132, 61132]: 0
@states[61162, 61162]: 0
@states[48095, 48097]: 0
@states[31004, 61218]: 0
@states[61193, 61193]: 0
@states[42838, 42838]: 0
@states[61185, 61185]: 0
@states[61237, 61237]: 0
@states[28071, 52246]: 0
@states[31004, 61219]: 0
@states[31004, 31004]: 0
@states[57178, 57182]: 0
@states[61159, 61159]: 0
@states[48095, 48095]: 0
@states[2548, 2559]: 0
@states[55251, 55251]: 0
@states[48138, 48142]: 0
@states[61164, 61164]: 0
@states[56780, 56784]: 0
@states[61133, 61133]: 0
@states[1041, 1041]: 0
@states[781, 781]: 0
@states[764, 769]: 0
@states[50557, 50564]: 0
@states[61251, 61251]: 0
@states[2548, 2563]: 0
@states[56734, 56741]: 0
@states[61201, 61201]: 0
@states[61250, 61250]: 0
@states[61150, 61150]: 0
@states[48095, 48098]: 0
@states[61225, 61225]: 0
@states[61214, 61214]: 0
@states[61198, 61198]: 0
@states[61161, 61161]: 0
@states[61190, 61190]: 0
@states[61254, 61254]: 0
@states[61230, 61230]: 0
@states[61186, 61186]: 0
@states[48095, 48100]: 0
@states[61155, 61155]: 0
@states[61171, 61171]: 0
@states[61242, 61242]: 0
@states[61247, 61247]: 0
@states[61173, 61173]: 0
@states[61232, 61232]: 0
@states[57178, 57183]: 0
@states[48095, 48115]: 0
@states[44627, 44633]: 0
@states[50611, 50615]: 0
@states[56745, 56745]: 0
@states[57178, 57181]: 0
@states[2497, 2497]: 0
@states[61134, 61134]: 0
@states[61245, 61245]: 0
@states[61227, 61227]: 0
@states[61197, 61197]: 0
@states[61184, 61184]: 0
@states[61176, 61176]: 0
@states[61174, 61174]: 0
@states[61183, 61183]: 0
@states[61158, 61158]: 0
@states[61199, 61199]: 0
@states[61151, 61151]: 0
@states[61156, 61156]: 0
@states[61243, 61243]: 0
@states[50611, 51441]: 0
@states[57189, 57201]: 0
@states[50568, 50580]: 0
@states[61127, 61127]: 0
@states[61207, 61207]: 0
@states[61129, 61129]: 0
@states[61252, 61252]: 0
@states[61235, 61235]: 0
@states[50611, 50617]: 0
@states[56734, 56743]: 0
@states[61169, 61169]: 0
@states[61123, 61123]: 0
@states[61163, 61163]: 0
@states[61192, 61192]: 0
@states[56734, 56742]: 0
@states[50557, 50566]: 0
@states[28071, 28072]: 0
@states[50557, 50567]: 0
@states[823, 928]: 0
@states[57189, 57200]: 0
@states[48095, 48116]: 0
@states[59540, 59540]: 0
@states[61203, 61203]: 0
@states[56734, 56737]: 0
@states[779, 779]: 0
@states[44627, 44628]: 0
@states[60362, 60362]: 0
@states[821, 821]: 0
@states[61142, 61142]: 0
@states[61053, 61053]: 0
@states[61051, 61051]: 0
@states[61153, 61153]: 0
@states[61231, 61231]: 0
@states[61128, 61128]: 0
@states[56745, 56757]: 0
@states[61122, 61122]: 0
@states[61050, 61050]: 0
@states[61205, 61205]: 0
@states[61195, 61195]: 0
@states[1050, 1050]: 0
@states[61221, 61221]: 0
@states[59315, 59318]: 0
@states[61248, 61248]: 0
@states[56734, 56736]: 0
@states[57178, 57187]: 0
@states[61196, 61196]: 0
@states[50568, 50568]: 0
@states[61253, 61253]: 0
@states[61125, 61125]: 0
@states[57178, 57180]: 0
@states[50568, 50579]: 0
@states[57189, 57189]: 0
@states[48095, 48114]: 0
@states[61209, 61209]: 0
@states[61130, 61130]: 0
@states[61215, 61215]: 0
@states[61049, 61049]: 0
@states[61220, 61220]: 0
@states[48138, 48143]: 0
@states[28071, 28073]: 0
@states[61223, 61223]: 0
@states[61213, 61213]: 0
@states[61139, 61139]: 0
@states[61241, 61241]: 0
@states[56734, 56744]: 0
@states[48138, 48141]: 0
@states[61143, 61143]: 0
@states[61226, 61226]: 0
@states[61170, 61170]: 0
@states[57178, 57188]: 0
@states[61249, 61249]: 0
@states[61135, 61135]: 0
@states[61216, 61216]: 0
@states[59102, 59106]: 0
@states[2548, 2548]: 0
@states[56734, 56734]: 0
@states[61140, 61140]: 0
@states[61189, 61189]: 0
@states[57178, 57205]: 0
@states[56734, 56739]: 0
@states[61145, 61145]: 0
@states[61182, 61182]: 0
@states[31004, 31007]: 0
@states[61228, 61228]: 0
@states[55662, 55665]: 0
@states[61194, 61194]: 0
@states[967, 967]: 0
@states[61202, 61202]: 0
@states[55662, 55662]: 0
@states[61224, 61224]: 0
@states[50557, 50557]: 0
@states[61178, 61178]: 0
@states[978, 978]: 0
@states[61167, 61167]: 0
@states[61172, 61172]: 0
@states[61229, 61229]: 0
@states[61121, 61121]: 0
@states[61141, 61141]: 0
@states[61152, 61152]: 0
@states[50611, 50611]: 0
@states[61222, 61222]: 0
@states[61234, 61234]: 0
@states[61244, 61244]: 0
@states[61204, 61204]: 0
@states[61180, 61180]: 0
@states[44627, 44629]: 0
@states[61181, 61181]: 0
@states[56780, 56786]: 0
@states[50557, 50581]: 0
@states[61187, 61187]: 0
@states[61188, 61188]: 0
@states[61146, 61146]: 0
@states[823, 823]: 0
@states[61217, 61217]: 0
@states[61206, 61206]: 0
@states[61131, 61131]: 0
@states[61179, 61179]: 0
@states[55251, 55254]: 0
@states[56681, 56681]: 0
@states[61240, 61240]: 0
@states[31004, 31008]: 0
@states[59102, 59102]: 0
@states[61212, 61212]: 0
@states[56780, 56795]: 0
@states[1, 1]: 0
@states[61255, 61255]: 0
@states[61175, 61175]: 0
@states[61177, 61177]: 0
@states[48095, 48117]: 0
@states[61148, 61148]: 0
@states[51414, 51414]: 0
@states[61126, 61126]: 0
@states[2664, 2664]: 0
@states[2382, 2382]: 0
@states[61200, 61200]: 0
@states[56745, 56756]: 0
@states[48138, 48138]: 0
@states[61160, 61160]: 0
@states[61054, 61054]: 0
@states[61157, 61157]: 0
@states[50557, 50565]: 0
@states[61233, 61233]: 0
@states[61149, 61149]: 0
@states[48095, 48099]: 0
@states[57178, 57185]: 0
@states[61208, 61208]: 0
@states[61052, 61052]: 0
@states[2757, 2757]: 0
@states[799, 799]: 0
@states[2385, 2386]: 0
@states[57178, 57186]: 0
@states[61238, 61238]: 0
@states[2875, 2878]: 0
@states[61236, 61236]: 0
@states[61138, 61138]: 0
